sentiment_magnitude,financial_event_type,outlook_type,stock_market_reaction,supply_chain_impact,company_volatility,overall_sentiment_score
0.65,Earnings Report,Positive,Positive Reaction,Supply Chain Neutral/No Impact,Increased Volatility,-0.55
0.85,General News,Negative,No Reaction Mentioned,Supply Chain Neutral/No Impact,Increased Volatility,-0.75
0.85,General News,Positive,No Reaction Mentioned,Supply Chain Neutral/No Impact,Increased Volatility,0.4
0.9,General News,Negative,No Reaction Mentioned,Supply Chain Negative,Increased Volatility,-0.75
0.95,Regulatory,Negative,No Reaction Mentioned,Supply Chain Neutral/No Impact,Increased Volatility,-0.8
0.9,Merger/Acquisition,Positive,No Reaction Mentioned,Supply Chain Neutral/No Impact,Stable Volatility,0.9
0.8,General News,Positive,Negative Reaction,Supply Chain Neutral/No Impact,Increased Volatility,0.65
0.85,General News,Negative,No Reaction Mentioned,Supply Chain Negative,Increased Volatility,-0.85
0.65,Analyst Note,Positive,Positive Reaction,Supply Chain Neutral/No Impact,Stable Volatility,-0.25
0.9,Product Launch,Positive,No Reaction Mentioned,Supply Chain Neutral/No Impact,Increased Volatility,0.6
0.85,Regulatory,Negative,No Reaction Mentioned,Supply Chain Neutral/No Impact,Increased Volatility,-0.85
0.9,Product Launch,Positive,No Reaction Mentioned,Supply Chain Neutral/No Impact,Stable Volatility,0.9
0.65,Product Launch,Positive,No Reaction Mentioned,Supply Chain Neutral/No Impact,Stable Volatility,0.0
0.65,General News,Positive,Negative Reaction,Supply Chain Neutral/No Impact,Increased Volatility,0.15
0.8,General News,Positive,No Reaction Mentioned,Supply Chain Neutral/No Impact,Increased Volatility,-0.35
0.95,General News,Positive,Positive Reaction,Supply Chain Neutral/No Impact,Stable Volatility,0.9
0.9,General News,Positive,Positive Reaction,Supply Chain Neutral/No Impact,Increased Volatility,0.85
0.85,Product Launch,Positive,No Reaction Mentioned,Supply Chain Neutral/No Impact,Stable Volatility,0.4
0.55,Analyst Note,Neutral,No Reaction Mentioned,Supply Chain Neutral/No Impact,Increased Volatility,-0.15
0.85,Analyst Note,Positive,Positive Reaction,Supply Chain Neutral/No Impact,Increased Volatility,0.88
0.8,Analyst Note,Positive,No Reaction Mentioned,Supply Chain Neutral/No Impact,Stable Volatility,0.65
0.75,Analyst Note,Positive,Positive Reaction,Supply Chain Neutral/No Impact,Stable Volatility,0.7
0.85,Analyst Note,Positive,No Reaction Mentioned,Supply Chain Neutral/No Impact,Stable Volatility,0.75
